Vitamin C (mg per 100g),Vitamin B11 (mg per 100g),Sodium (mg per 100g),Calcium (mg per 100g),Carbohydrates (g per 100g),food,Iron (mg per 100g),Calories (kcal per 100g),Sugars (g per 100g),Dietary Fiber (g per 100g),Fat (g per 100g),Protein (g per 100g),food_normalized
0.2,0.059,0.075,0.6,0.006,tabasco sauce,0.019,1.0,0.067,0.013,0.002,0.045,tabasco sauce
1.5,0.079,0.024,1.8,6.7,sweet sour sauce,0.021,26.0,3.3,0.065,0.084,0.02,sweet sour sauce
1.8,0.084,0.034,1.4,1.0,salsa verde,0.079,6.0,0.5,0.3,0.1,0.2,salsa verde
0.04,0.082,0.7,0.094,5.1,miso,0.046,40.0,1.2,1.1,1.2,2.6,miso
7.8,0.023,0.2,55.5,6.1,sprouted soybean cooked,1.2,76.0,0.4,0.8,4.2,8.0,sprouted soybean cooked
0.0,0.2,0.083,159.8,28.6,soy flour roasted,4.9,375.0,6.5,8.2,18.6,29.6,soy flour roasted
0.0,0.3,0.085,250.8,30.7,soy flour low fat,7.2,330.0,9.3,14.1,7.8,40.0,soy flour low fat
0.007,0.2,0.2,0.0,9.9,green soybean cooked,0.1,127.0,0.0,3.8,5.8,11.1,green soybean cooked
0.0,0.0,0.03,711.0,9.1,azumaya tofu vitasoy,5.1,316.0,1.6,2.4,16.6,32.8,azumaya tofu vitasoy
0.0,0.01,0.3,50.4,2.1,soy proteins isolate,4.1,96.0,0.0,1.6,1.0,22.8,soy proteins isolate
0.048,0.2,0.03,0.013,41.8,tofu yogurt,0.2,246.0,3.2,0.5,4.7,9.2,tofu yogurt
0.0,0.047,2.1,33.1,9.1,bacon meatless,3.5,446.0,0.0,3.7,42.5,15.4,bacon meatless
0.0,0.017,0.5,54.6,11.1,meatless chicken fried,5.0,304.0,0.0,5.6,16.6,27.7,meatless chicken fried
0.6,0.2,0.1,0.0,8.4,soymilk,0.3,109.0,6.1,1.0,4.8,7.1,soymilk
0.0,0.0,0.032,77.0,115.2,soy vermicelli,2.5,463.0,24.4,5.5,0.1,0.1,soy vermicelli
0.094,0.01,0.021,0.099,1.2,tofu fried,0.051,35.0,0.4,0.5,2.6,2.4,tofu fried
0.0,0.086,0.068,184.3,15.6,tempeh,4.5,320.0,0.0,0.0,17.9,30.8,tempeh
0.029,0.021,0.081,0.0,1.7,koyadofu,0.2,81.0,0.0,1.2,5.2,8.9,koyadofu
0.0,0.066,0.3,16.2,4.5,meatless meatloaf,1.2,110.0,0.7,2.6,5.0,11.8,meatless meatloaf
0.0,0.0,0.0,0.0,1.0,soya vanille joghurt alpro,0.0,21.0,0.09,0.0,0.6,0.3,soya vanille joghurt alpro
0.0,0.006,0.094,423.0,15.5,soybean curd cheese,12.6,340.0,3.6,0.0,18.2,28.1,soybean curd cheese
0.01,0.012,0.9,0.0,0.8,soy sauce,0.031,8.0,0.097,0.1,0.054,1.3,soy sauce
4.3,0.2,0.077,130.2,30.4,soybean dry roasted,3.7,419.0,0.0,7.5,20.1,36.8,soybean dry roasted
0.0,0.0,0.0,0.0,0.0,soybean oil,0.048,120.0,0.0,0.0,13.6,0.0,soybean oil
0.0,0.1,1.2,58.8,6.1,meatless chicken,5.5,376.0,0.0,6.0,21.4,39.7,meatless chicken
0.4,0.3,0.075,0.099,17.1,soybean cooked,0.7,296.0,5.2,10.3,15.4,28.6,soybean cooked
0.0,0.092,0.1,281.9,10.1,soymilk nonfat,0.9,68.0,8.9,0.5,0.046,6.0,soymilk nonfat
0.009,0.062,0.023,0.061,1.8,soy flour,0.2,23.0,0.4,0.5,1.1,1.8,soy flour
0.0,0.0,0.0,0.0,0.0,soybean lecithin oil,0.0,104.0,0.0,0.0,13.6,0.0,soybean lecithin oil
0.2,0.096,0.06,868.0,4.7,tofu raw,13.3,188.0,0.0,0.7,11.9,20.0,tofu raw
0.0,0.098,0.2,48.4,15.0,soy chips,1.5,109.0,0.5,1.0,2.1,7.5,soy chips
74.2,0.4,0.017,504.3,28.3,green soybean raw,9.1,376.0,0.0,10.8,17.4,33.2,green soybean raw
0.0,0.087,0.3,102.7,7.2,soy proteins concentrate,3.1,93.0,0.0,1.6,0.1,18.0,soy proteins concentrate
0.077,0.013,0.005,1.4,0.043,soybean margarine,0.0,34.0,0.0,0.0,3.8,0.052,soybean margarine
0.0,0.03,0.1,281.9,20.7,chocolate soymilk nonfat,0.9,107.0,8.9,0.5,0.046,6.0,chocolate soymilk nonfat
0.1,0.035,0.07,0.0,15.3,okara,0.2,93.0,0.0,0.0,2.1,3.9,okara
0.0,0.1,0.8,36.0,11.5,meatless meatballs,3.1,284.0,1.8,6.6,13.0,30.2,meatless meatballs
0.0,0.032,0.1,60.8,15.3,vanilla soymilk,1.6,131.0,9.7,1.5,4.3,7.9,vanilla soymilk
0.0,0.4,0.017,297.7,49.0,soy meal raw,16.7,414.0,0.0,0.0,2.9,54.8,soy meal raw
0.0,0.0,0.04,199.3,17.5,soymilk low fat,1.1,104.0,8.5,1.9,1.5,4.0,soymilk low fat
0.1,0.2,0.005,0.0,6.7,sprouted soybean raw,0.3,85.0,0.0,0.8,4.7,9.2,sprouted soybean raw
11.2,0.7,0.023,515.2,56.1,soybean raw,29.2,830.0,13.6,17.3,37.1,67.9,soybean raw
0.0,0.022,0.084,27.2,2.6,tempeh cooked,0.6,55.0,0.0,0.0,3.2,5.1,tempeh cooked
0.0,0.062,0.2,298.9,9.4,vanilla soymilk light,1.1,83.0,1.0,1.5,2.1,6.4,vanilla soymilk light
0.2,0.098,0.1,0.074,24.2,chocolate soymilk,0.5,153.0,19.1,1.0,3.7,5.5,chocolate soymilk
0.0,0.0,0.0,0.0,0.0,soy oil,0.0,120.0,0.0,0.0,13.6,0.0,soy oil
0.1,0.1,0.026,0.085,11.5,natto,0.5,169.0,3.9,4.3,8.8,14.2,natto
0.061,0.07,0.012,0.2,1.5,chrysanthemum raw,0.044,12.0,0.0,1.5,0.3,1.7,chrysanthemum raw
0.2,0.092,0.065,0.03,25.5,gourd cooked,0.2,100.0,9.2,5.2,0.6,1.2,gourd cooked
0.019,0.085,0.042,0.033,0.6,cauliflower raw,0.01,3.0,0.2,0.3,0.081,0.2,cauliflower raw
96.9,0.088,0.079,76.5,12.5,red cabbage raw,1.4,53.0,6.5,3.6,0.3,2.4,red cabbage raw
0.064,0.06,0.04,0.074,1.1,broccoli raab raw,0.022,9.0,0.2,1.1,0.2,1.3,broccoli raab raw
3.5,0.094,0.012,31.6,2.4,napa cabbage cooked,0.8,13.0,0.0,0.0,0.2,1.2,napa cabbage cooked
0.2,0.006,0.019,8.4,0.5,kelp,0.1,2.0,0.069,0.018,0.067,0.07,kelp
0.016,0.04,0.044,0.007,4.2,shallots raw,0.004,18.0,2.0,0.8,0.061,0.6,shallots raw
0.4,0.3,0.067,0.0,9.4,bamboo shoots raw,0.3,49.0,5.4,4.0,0.5,4.7,bamboo shoots raw
28.7,0.076,0.043,183.6,6.3,jute cooked,2.7,32.0,0.9,1.7,0.2,3.2,jute cooked
0.026,0.041,0.057,0.021,0.6,red lettuce,0.093,4.0,0.1,0.3,0.08,0.4,red lettuce
0.6,0.2,0.1,0.4,20.1,broccoli cooked,0.2,98.0,3.9,9.2,1.1,6.7,broccoli cooked
56.4,0.091,0.025,21.1,3.9,romanesco raw,0.5,20.0,1.9,2.0,0.2,1.9,romanesco raw
10.1,0.1,0.028,41.2,26.9,eggplant raw,1.1,115.0,16.2,13.7,0.8,4.5,eggplant raw
0.2,0.056,0.003,0.011,12.6,leeks raw,0.1,54.0,3.5,1.6,0.3,1.3,leeks raw
0.1,0.011,0.024,3.1,1.2,lemongrass citronella,0.4,5.0,0.0,0.0,0.076,0.038,lemongrass citronella
0.1,0.004,0.006,0.098,12.0,pumpkin cooked,0.2,49.0,5.1,2.7,0.2,1.8,pumpkin cooked
2.3,0.021,0.093,15.8,1.5,celery cooked,0.2,7.0,0.9,0.6,0.098,0.3,celery cooked
0.099,0.09,0.067,0.021,0.4,serrano pepper,0.063,2.0,0.2,0.2,0.075,0.1,serrano pepper
8.0,0.059,0.076,141.0,2.9,nopales raw,0.5,14.0,1.0,1.9,0.063,1.1,nopales raw
1.0,0.016,0.2,21.1,4.7,sweet potato leaves cooked,0.4,22.0,3.5,1.2,0.2,1.4,sweet potato leaves cooked
1.3,0.086,0.2,5.9,8.1,eggplant cooked,0.2,33.0,3.2,2.5,0.2,0.8,eggplant cooked
0.022,0.065,0.0,0.099,0.6,asparagus cooked,0.031,3.0,0.2,0.3,0.074,0.4,asparagus cooked
